Age	Place	Studies	Race	Sex	Salary
59	Center	22	Asian	F	8901.47
34	North	08	Indian	M	77091.24
51	South	25	Other	F	3292.23
44	Center	05	Asian	F	332.72
29	North	06	Asian	M	20059.23
21	North	20	Asian	M	41889.95
52	South	11	Other	F	234.97
54	Center	14	White	M	3215.98
53	Center	10	White	F	1875.34
25	Center	21	Asian	M	6955.26
60	South	06	Other	M	222.22
60	North	18	White	F	10464.05
60	North	08	Indian	F	2922.94
24	North	22	Other	M	24188.33
49	North	04	Other	F	4470.64
65	North	25	Asian	F	27609.77
27	North	15	White	M	32237.97
58	South	20	Other	M	13119.90
28	Center	10	White	F	1797.99
52	Center	17	Indian	M	873.84
36	Center	06	Indian	M	96392.33
61	North	21	Indian	M	49598.93
60	North	20	White	F	30663.35
35	South	20	Other	M	13158.89
53	South	21	White	M	2839.53
31	Center	04	Indian	M	84793.27
35	South	21	Indian	F	67119.82
58	North	18	Asian	F	35721.75
61	Center	10	Indian	F	1087.12
68	South	07	Asian	F	732.29
53	North	18	Indian	F	15659.93
29	South	08	White	F	940.73
69	North	08	White	M	28865.85
28	North	10	White	F	22465.58
26	Center	16	White	M	1252.86
41	North	18	Other	F	34256.62
48	South	24	White	F	12945.74
53	Center	23	Asian	M	9231.16
23	Center	22	Other	F	10513.04
49	Center	17	Other	M	827.06
46	North	06	Asian	M	21823.08
50	South	05	Indian	M	875.26
43	North	09	White	M	21524.13
25	North	16	Asian	M	9843.93
47	Center	14	Indian	F	996.18
47	North	16	Other	M	35839.29
25	North	16	Asian	F	8222.02
35	Center	24	Asian	F	45428.52
68	North	13	Asian	M	13346.36
30	South	08	White	F	2413.43
46	Center	15	Asian	M	1089.74
43	North	18	Indian	F	4379.12
67	Center	21	Other	M	8270.59
66	South	23	Indian	M	3461.08
38	North	25	White	F	83308.39
57	North	10	White	M	35621.35
40	North	17	Other	F	23492.91
37	South	25	White	F	61097.36
61	Center	08	Indian	F	561.61
34	North	14	Other	F	27715.29
59	Center	12	Asian	M	1064.75
63	Center	19	Other	F	758.97
32	Center	23	Asian	M	73877.34
53	Center	06	Asian	M	74.73
41	South	05	Indian	M	746.81
69	Center	25	Other	M	8988.45
70	South	06	Indian	M	1189.44
46	Center	21	White	M	10028.23
39	South	07	White	M	38712.91
42	North	23	Indian	M	41882.95
30	Center	22	Asian	F	2857.23
58	North	05	Indian	F	25032.36
61	North	06	White	M	6904.00
25	South	04	White	F	940.30
24	Center	17	Asian	F	131.19
52	South	14	White	M	324.12
32	South	14	White	M	99657.04
49	Center	24	Other	F	11811.27
64	North	07	Indian	F	26522.34
25	Center	09	Other	M	140.83
39	North	25	Asian	M	71760.21
25	Center	10	Indian	M	265.73
52	South	11	White	F	600.15
61	North	05	Indian	M	18507.40
45	Center	21	White	M	15421.80
43	North	18	White	F	22227.78
31	North	24	Indian	F	37085.71
48	Center	20	Asian	F	3295.24
28	South	21	White	M	5072.11
58	South	10	Other	M	819.38
45	South	13	Indian	F	791.78
43	Center	21	Other	M	5358.66
67	South	07	White	F	1225.94
36	North	11	Asian	M	133209.56
46	Center	12	Indian	F	106.26
61	Center	08	Indian	F	705.82
59	North	22	Other	M	10909.86
68	South	05	Asian	F	553.44
27	North	15	Indian	F	7308.25
57	North	25	Indian	M	37195.68
50	North	19	White	F	32140.45
55	South	24	Asian	M	7821.11
32	North	04	White	M	5328.45
50	Center	17	Other	F	173.56
43	Center	20	White	M	11828.86
36	Center	11	Indian	M	93960.85
58	South	04	Other	M	780.94
33	South	17	Other	M	12734.88
59	Center	24	Asian	M	2851.83
41	North	19	Other	M	23972.63
21	South	22	Asian	F	9674.28
43	South	07	Asian	M	573.37
63	South	06	Indian	M	1006.26
32	Center	22	Indian	M	51546.62
25	North	23	Asian	M	32667.04
62	South	05	Asian	F	667.97
66	Center	23	Other	F	5143.35
54	South	10	Other	M	1028.46
36	South	24	White	F	84123.34
49	Center	15	White	F	1331.08
52	South	20	White	F	2639.36
23	North	11	Indian	F	22400.61
61	South	20	Asian	F	3935.71
39	South	05	Other	F	15642.69
47	Center	06	Other	F	497.41
21	Center	24	Asian	F	11907.54
34	South	04	Asian	F	44333.19
44	North	05	White	M	35022.26
68	Center	15	Other	F	1056.63
53	Center	13	Indian	M	186.59
56	South	05	Asian	M	1188.29
68	North	13	White	M	16516.78
33	North	15	Other	M	82816.96
39	North	23	Other	F	105181.76
32	South	16	White	M	71570.40
43	Center	10	Asian	M	1038.14
54	Center	05	Indian	M	111.86
70	South	11	Other	M	489.03
36	South	25	Indian	M	89499.33
62	North	07	Indian	F	4824.13
67	Center	09	Indian	M	402.70
25	North	13	Indian	M	27833.47
40	Center	21	White	F	71180.06
65	Center	18	Asian	F	879.63
41	South	15	Other	F	903.43
29	Center	23	White	F	7208.17
49	South	11	Asian	F	564.77
58	South	15	Asian	F	70.27
52	North	08	White	F	2810.42
69	South	24	Other	M	1065.11
32	North	10	Indian	M	102197.15
53	North	08	Asian	F	3052.87
36	South	20	White	F	73577.55
46	Center	17	White	F	2983.49
64	North	22	White	F	44775.90
35	South	13	Asian	M	35534.04
22	Center	14	Indian	F	383.63
27	Center	12	Other	F	577.73
68	North	19	Asian	F	19004.13
21	Center	21	Indian	F	855.06
59	North	06	Indian	M	16886.13
24	Center	16	Other	M	253.64
64	South	19	Other	F	1037.21
37	South	08	Indian	M	59720.32
40	South	21	White	M	56006.27
26	Center	24	Asian	M	7172.38
61	South	11	White	F	217.21
55	North	05	Other	M	1461.26
61	South	04	White	M	1674.78
32	North	18	White	F	119143.90
70	North	25	Asian	M	32761.13
47	North	17	Indian	M	6165.24
70	Center	17	Asian	F	570.97
56	South	09	White	M	212.47
44	North	20	White	F	21141.39
54	South	25	Other	M	11596.81
36	South	24	Indian	M	25367.83
53	South	15	Asian	M	223.34
53	Center	09	Indian	M	118.46
29	Center	24	Other	M	2905.82
39	North	07	Other	F	103709.81
25	North	17	Other	M	4342.88
23	North	20	Other	M	49244.46
62	South	07	Indian	M	567.01
24	South	04	Asian	F	757.36
35	Center	05	Indian	F	33345.87
70	North	21	Other	F	12381.92
63	Center	13	Indian	M	316.58
60	North	15	Indian	M	29957.40
48	North	19	White	F	25074.35
38	North	10	Other	F	55854.78
48	South	22	Indian	F	11170.75
55	North	17	White	M	27158.20
66	Center	10	Indian	F	806.22
46	South	09	Other	F	677.69
41	North	14	Asian	M	6153.37
48	North	09	Other	F	32744.95
49	South	14	Other	M	969.22
66	Center	07	Other	M	700.90
27	North	17	Other	M	10413.32
22	North	21	Other	M	23418.57
51	South	25	Asian	F	5718.92
30	North	19	White	F	2743.09
70	South	24	White	F	9249.08
48	North	07	Indian	F	29347.17
54	South	17	Indian	M	685.11
64	North	07	Other	F	8254.23
66	South	14	Asian	M	1039.43
65	Center	09	Other	M	617.80
55	North	17	Other	F	18919.26
43	Center	17	Indian	M	530.66
30	Center	20	Asian	M	3855.75
58	North	19	Asian	F	10104.95
39	North	18	Indian	F	108325.17
70	Center	14	Indian	M	861.96
53	North	07	White	F	6791.17
24	North	08	Other	M	20811.77
55	North	10	Other	F	34510.90
47	North	18	White	M	29381.45
32	South	20	Other	F	39001.42
62	North	14	Other	M	25055.20
70	North	13	White	M	28533.33
43	North	06	White	M	8254.11
35	Center	14	Indian	M	42843.32
46	Center	10	Asian	M	918.15
62	North	18	Other	M	10469.08
68	Center	17	White	M	3284.73
42	Center	18	Asian	M	751.04
54	Center	10	White	F	1373.70
51	North	18	White	M	27594.47
44	North	24	White	F	5452.56
22	Center	24	White	M	9737.25
22	Center	21	Other	M	2957.04
41	North	21	White	F	38770.67
30	Center	09	Other	F	202.18
49	Center	24	White	M	1724.61
33	South	15	Other	F	42942.00
65	Center	22	White	F	7609.34
32	South	14	White	M	82858.64
63	Center	13	White	F	1080.49
27	Center	19	Asian	F	483.64
61	South	13	Asian	F	320.19
41	North	05	Asian	M	29704.37
55	North	16	White	F	9246.62
28	South	21	White	F	10011.66
70	Center	19	Other	F	1032.83
31	Center	12	Asian	F	12014.85
33	South	13	Indian	F	13268.74
33	North	09	Asian	M	49229.29
36	Center	24	White	F	92398.18
51	South	13	Other	M	915.11
45	South	21	Other	M	5425.25
46	South	06	White	M	1156.57
37	North	14	Asian	F	123852.08
67	Center	25	Asian	F	3368.52
50	Center	20	Asian	M	3618.39
27	South	05	Asian	M	275.32
48	North	13	Asian	M	25678.41
54	Center	06	Indian	M	960.01
43	South	22	Indian	F	4390.09
56	South	09	Indian	F	354.70
45	North	06	Other	F	29638.96
32	Center	23	Asian	M	13452.00
47	South	07	Asian	M	602.49
61	North	08	Other	F	34747.56
66	South	06	Asian	M	236.77
61	North	10	Indian	M	36242.64
49	South	07	Asian	F	573.31
41	Center	15	Indian	M	641.04
69	South	05	Indian	F	187.75
62	Center	06	Indian	F	146.05
24	Center	16	White	F	530.15
47	South	11	Asian	M	575.14
38	Center	14	Other	F	23706.10
69	North	09	Other	F	2605.55
47	North	15	Asian	M	26486.64
36	Center	08	Other	M	94536.33
26	Center	07	Other	M	226.28
41	Center	11	White	M	3029.42
56	South	25	White	M	10356.83
33	Center	21	Other	M	62727.84
39	Center	13	Asian	F	29906.68
58	North	10	Other	F	7299.91
56	Center	19	Other	F	447.90
36	Center	18	White	F	15790.41
57	South	22	Indian	M	582.06
25	South	12	White	M	2679.25
34	North	05	Asian	M	27251.47
34	North	14	Asian	M	72435.72
33	North	24	Indian	F	39494.32
21	Center	14	Other	F	478.71
56	North	15	White	F	12596.72
40	South	15	Asian	M	5134.21
25	South	21	Other	F	948.51
38	South	21	White	M	37496.14
56	South	09	White	M	2095.80
36	South	21	Other	M	48394.11
45	Center	06	White	M	2373.78
30	Center	12	Asian	F	719.46
41	Center	17	White	F	3209.62
60	Center	24	Indian	M	5157.27
45	North	23	Asian	F	49548.58
37	North	04	Asian	M	67023.55
55	South	24	Indian	M	8038.99
54	South	21	Indian	F	3165.15
48	North	04	Indian	M	33999.95
37	South	23	White	M	23576.57
59	South	25	White	M	1991.64
26	North	06	White	F	24348.58
29	South	05	Indian	M	1164.42
53	South	13	Indian	M	701.46
31	North	18	Indian	F	58079.52
22	Center	15	White	F	1462.38
59	South	23	Asian	M	9370.50
52	Center	24	Other	F	11621.15
33	South	20	Indian	F	57179.62
46	Center	08	Indian	M	1208.13
70	North	09	Other	F	14248.38
43	South	23	Asian	M	3271.04
60	South	25	Other	M	4817.26
27	North	05	Asian	M	23003.97
51	South	19	Other	F	658.74
67	South	10	White	F	3206.61
53	South	17	Asian	F	311.74
65	Center	04	Other	F	605.82
31	North	16	Asian	F	101567.08
31	South	10	Other	F	10588.74
62	Center	20	Asian	M	12596.74
28	South	15	Other	F	573.31
68	South	24	Asian	M	10034.49
47	North	07	Indian	F	5644.71
64	South	13	Asian	F	700.14
38	North	10	Other	F	6632.44
29	North	23	White	F	29378.47
49	Center	18	White	M	1377.93
50	North	12	Asian	M	9276.14
24	Center	05	Indian	M	1197.92
65	South	07	White	M	2537.73
26	Center	07	Other	M	962.03
66	South	17	Other	M	591.15
33	North	05	Asian	F	105629.24
24	North	24	Other	M	32003.57
21	North	05	Other	M	8605.18
32	Center	17	White	F	32803.69
50	North	05	White	F	17652.83
46	Center	18	Asian	M	617.76
63	Center	19	Indian	M	261.97
65	Center	09	White	M	288.92
64	North	25	Other	F	34934.97
49	North	04	White	F	34937.48
46	Center	08	White	M	3175.25
48	North	21	Asian	F	9629.92
29	Center	15	Indian	F	249.97
29	Center	10	Indian	M	763.59
53	North	04	White	M	30188.93
38	South	20	White	M	66464.14
53	North	07	White	F	36164.04
54	North	04	Other	F	18369.34
22	North	25	Indian	M	43761.79
55	Center	14	Asian	M	1072.76
41	North	12	Indian	M	19466.73
56	North	11	Other	M	19802.33
58	North	15	Indian	F	19040.65
37	South	15	Other	M	95462.28
64	North	10	White	F	27092.89
26	Center	19	Other	F	426.87
28	Center	10	Other	M	864.57
54	Center	20	Other	M	10962.41
60	South	08	Asian	M	199.39
31	Center	06	Asian	M	82362.75
27	North	19	White	F	18771.04
23	South	17	Asian	M	595.48
70	Center	12	White	M	3539.56
39	North	06	Other	F	43013.20
38	Center	10	White	F	63360.56
61	North	06	White	M	20648.12
57	North	15	White	F	33541.54
56	Center	06	White	F	563.71
49	Center	22	Other	F	4737.05
28	North	10	Other	M	19253.72
41	North	08	Asian	F	18083.37
21	North	19	Other	F	37568.96
42	South	15	White	M	912.34
68	South	14	Indian	F	379.14
58	North	04	Other	F	17788.80
42	South	04	Asian	M	651.02
