Age	Place	Studies	Race	Sex	Salary
40	3	21	4	2	56006.27
26	1	24	1	2	7172.38
61	3	11	4	1	217.21
55	2	5	3	2	1461.26
61	3	4	4	2	1674.78
32	2	18	4	1	119143.9
70	2	25	1	2	32761.13
47	2	17	2	2	6165.24
70	1	17	1	1	570.97
56	3	9	4	2	212.47
44	2	20	4	1	21141.39
54	3	25	3	2	11596.81
36	3	24	2	2	25367.83
53	3	15	1	2	223.34
53	1	9	2	2	118.46
29	1	24	3	2	2905.82
39	2	7	3	1	103709.81
25	2	17	3	2	4342.88
23	2	20	3	2	49244.46
62	3	7	2	2	567.01
24	3	4	1	1	757.36
35	1	5	2	1	33345.87
70	2	21	3	1	12381.92
63	1	13	2	2	316.58
60	2	15	2	2	29957.4
48	2	19	4	1	25074.35
38	2	10	3	1	55854.78
48	3	22	2	1	11170.75
55	2	17	4	2	27158.2
66	1	10	2	1	806.22
46	3	9	3	1	677.69
41	2	14	1	2	6153.37
48	2	9	3	1	32744.95
49	3	14	3	2	969.22
66	1	7	3	2	700.9
27	2	17	3	2	10413.32
22	2	21	3	2	23418.57
51	3	25	1	1	5718.92
30	2	19	4	1	2743.09
70	3	24	4	1	9249.08
48	2	7	2	1	29347.17
54	3	17	2	2	685.11
64	2	7	3	1	8254.23
66	3	14	1	2	1039.43
65	1	9	3	2	617.8
55	2	17	3	1	18919.26
43	1	17	2	2	530.66
30	1	20	1	2	3855.75
58	2	19	1	1	10104.95
39	2	18	2	1	108325.17
70	1	14	2	2	861.96
53	2	7	4	1	6791.17
24	2	8	3	2	20811.77
55	2	10	3	1	34510.9
47	2	18	4	2	29381.45
32	3	20	3	1	39001.42
62	2	14	3	2	25055.2
70	2	13	4	2	28533.33
43	2	6	4	2	8254.11
35	1	14	2	2	42843.32
46	1	10	1	2	918.15
62	2	18	3	2	10469.08
68	1	17	4	2	3284.73
42	1	18	1	2	751.04
54	1	10	4	1	1373.7
51	2	18	4	2	27594.47
44	2	24	4	1	5452.56
22	1	24	4	2	9737.25
22	1	21	3	2	2957.04
41	2	21	4	1	38770.67
30	1	9	3	1	202.18
49	1	24	4	2	1724.61
33	3	15	3	1	42942
65	1	22	4	1	7609.34
32	3	14	4	2	82858.64
63	1	13	4	1	1080.49
27	1	19	1	1	483.64
61	3	13	1	1	320.19
41	2	5	1	2	29704.37
55	2	16	4	1	9246.62
28	3	21	4	1	10011.66
70	1	19	3	1	1032.83
31	1	12	1	1	12014.85
33	3	13	2	1	13268.74
33	2	9	1	2	49229.29
36	1	24	4	1	92398.18
51	3	13	3	2	915.11
45	3	21	3	2	5425.25
46	3	6	4	2	1156.57
37	2	14	1	1	123852.08
67	1	25	1	1	3368.52
50	1	20	1	2	3618.39
27	3	5	1	2	275.32
48	2	13	1	2	25678.41
54	1	6	2	2	960.01
43	3	22	2	1	4390.09
56	3	9	2	1	354.7
45	2	6	3	1	29638.96
32	1	23	1	2	13452
47	3	7	1	2	602.49
61	2	8	3	1	34747.56
66	3	6	1	2	236.77
61	2	10	2	2	36242.64
49	3	7	1	1	573.31
41	1	15	2	2	641.04
69	3	5	2	1	187.75
62	1	6	2	1	146.05
24	1	16	4	1	530.15
47	3	11	1	2	575.14
38	1	14	3	1	23706.1
69	2	9	3	1	2605.55
47	2	15	1	2	26486.64
36	1	8	3	2	94536.33
26	1	7	3	2	226.28
41	1	11	4	2	3029.42
56	3	25	4	2	10356.83
33	1	21	3	2	62727.84
39	1	13	1	1	29906.68
58	2	10	3	1	7299.91
56	1	19	3	1	447.9
36	1	18	4	1	15790.41
57	3	22	2	2	582.06
25	3	12	4	2	2679.25
34	2	5	1	2	27251.47
34	2	14	1	2	72435.72
33	2	24	2	1	39494.32
21	1	14	3	1	478.71
56	2	15	4	1	12596.72
40	3	15	1	2	5134.21
25	3	21	3	1	948.51
38	3	21	4	2	37496.14
56	3	9	4	2	2095.8
36	3	21	3	2	48394.11
45	1	6	4	2	2373.78
30	1	12	1	1	719.46
41	1	17	4	1	3209.62
60	1	24	2	2	5157.27
45	2	23	1	1	49548.58
37	2	4	1	2	67023.55
55	3	24	2	2	8038.99
54	3	21	2	1	3165.15
48	2	4	2	2	33999.95
37	3	23	4	2	23576.57
59	3	25	4	2	1991.64
26	2	6	4	1	24348.58
29	3	5	2	2	1164.42
53	3	13	2	2	701.46
31	2	18	2	1	58079.52
22	1	15	4	1	1462.38
59	3	23	1	2	9370.5
52	1	24	3	1	11621.15
33	3	20	2	1	57179.62
46	1	8	2	2	1208.13
70	2	9	3	1	14248.38
43	3	23	1	2	3271.04
60	3	25	3	2	4817.26
27	2	5	1	2	23003.97
51	3	19	3	1	658.74
67	3	10	4	1	3206.61
53	3	17	1	1	311.74
65	1	4	3	1	605.82
31	2	16	1	1	101567.08
31	3	10	3	1	10588.74
62	1	20	1	2	12596.74
28	3	15	3	1	573.31
68	3	24	1	2	10034.49
47	2	7	2	1	5644.71
64	3	13	1	1	700.14
38	2	10	3	1	6632.44
29	2	23	4	1	29378.47
49	1	18	4	2	1377.93
50	2	12	1	2	9276.14
24	1	5	2	2	1197.92
65	3	7	4	2	2537.73
26	1	7	3	2	962.03
66	3	17	3	2	591.15
33	2	5	1	1	105629.24
24	2	24	3	2	32003.57
21	2	5	3	2	8605.18
32	1	17	4	1	32803.69
50	2	5	4	1	17652.83
46	1	18	1	2	617.76
63	1	19	2	2	261.97
65	1	9	4	2	288.92
64	2	25	3	1	34934.97
49	2	4	4	1	34937.48
46	1	8	4	2	3175.25
48	2	21	1	1	9629.92
29	1	15	2	1	249.97
29	1	10	2	2	763.59
53	2	4	4	2	30188.93
38	3	20	4	2	66464.14
53	2	7	4	1	36164.04
54	2	4	3	1	18369.34
22	2	25	2	2	43761.79
55	1	14	1	2	1072.76
41	2	12	2	2	19466.73
56	2	11	3	2	19802.33
58	2	15	2	1	19040.65
37	3	15	3	2	95462.28
64	2	10	4	1	27092.89
26	1	19	3	1	426.87
28	1	10	3	2	864.57
54	1	20	3	2	10962.41
60	3	8	1	2	199.39
31	1	6	1	2	82362.75
27	2	19	4	1	18771.04
23	3	17	1	2	595.48
70	1	12	4	2	3539.56
39	2	6	3	1	43013.2
38	1	10	4	1	63360.56
61	2	6	4	2	20648.12
57	2	15	4	1	33541.54
56	1	6	4	1	563.71
49	1	22	3	1	4737.05
28	2	10	3	2	19253.72
41	2	8	1	1	18083.37
21	2	19	3	1	37568.96
42	3	15	4	2	912.34
68	3	14	2	1	379.14
58	2	4	3	1	17788.8
42	3	4	1	2	651.02
